id,tested_positive
258,11.329978
259,17.54105
260,7.9164
261,30.429905
262,27.914124
263,9.5345545
264,4.7054744
265,15.408789
266,42.336212
267,16.356398
268,18.378168
269,14.16817
270,11.483434
271,19.04352
272,16.591751
273,9.735516
274,7.495087
275,7.758765
276,16.79188
277,13.314657
278,15.650847
279,17.299038
280,14.443466
281,10.383389
282,11.69677
283,27.778223
284,8.817624
285,9.415403
286,11.301465
287,5.804259
288,14.559336
289,11.240081
290,9.853564
291,32.044968
292,4.363155
293,41.593197
294,7.2307205
295,20.336447
296,16.03567
297,9.516562
298,12.860568
299,15.111934
300,20.777954
301,13.898814
302,19.672312
303,16.943193
304,18.11151
305,16.011848
306,20.07178
307,14.385606
308,8.860347
309,12.916263
310,27.569063
311,33.005642
312,19.054667
313,9.226333
314,22.816149
315,14.050232
316,4.636543
317,34.732643
318,16.444504
319,12.24633
320,25.42581
321,16.698704
322,4.890186
323,33.67522
324,30.065596
325,22.91889
326,31.936981
327,34.773735
328,28.011066
329,16.78599
330,7.187697
331,9.015195
332,4.890257
333,10.202042
334,33.382324
335,32.605667
336,5.8867517
337,28.68276
338,11.766213
339,27.30422
340,10.480836
341,28.150072
342,19.756815
343,26.30217
344,8.126971
345,9.21631
346,12.649417
347,19.516817
348,9.133923
349,19.012419
350,5.3090677
351,23.38069
352,9.225399
353,18.247704
354,10.694222
355,19.724548
356,6.7870584
357,30.593065
358,19.59154
359,10.704829
360,16.130022
361,6.7694316
362,11.638063
363,6.8741946
364,15.534596
365,19.679228
366,44.774673
367,15.597642
368,9.164662
369,23.496843
370,36.58823
371,9.413652
372,18.648024
373,8.75026
374,9.2124605
375,6.2842717
376,16.868288
377,24.126507
378,13.907227
379,18.108995
380,23.239073
381,22.068464
382,32.511112
383,10.808276
384,9.118674
385,36.33954
386,6.6148305
387,14.074579
388,25.629297
389,26.184204
390,18.334503
391,18.270666
392,17.241594
393,11.36996
394,31.270668
395,36.117294
396,7.724054
397,16.332436
398,14.921433
399,6.193497
400,31.68002
401,20.882933
402,12.929767
403,18.624094
404,5.669915
405,29.599722
406,9.520657
407,31.846167
408,6.859047
409,13.28883
410,19.52435
411,15.40183
412,20.780857
413,11.451363
414,37.259407
415,6.5624847
416,9.707156
417,31.160248
418,19.708899
419,11.872826
420,6.050656
421,9.992389
422,4.858195
423,12.021779
424,8.646377
425,37.77737
426,26.196798
427,9.742182
428,34.653496
429,32.838722
430,6.972751
431,8.951179
432,11.128109
433,16.616964
434,16.87542
435,36.56592
436,12.416782
437,16.40649
438,9.193782
439,18.565958
440,7.5828953
441,7.1976557
442,19.231508
443,25.151323
444,8.100254
445,18.375956
446,11.090581
447,36.589592
448,43.271614
449,19.891409
450,20.716673
451,8.276694
452,31.246428
453,19.572004
454,16.922314
455,23.056774
456,10.171303
457,48.86628
458,35.270966
459,12.768632
460,21.699274
461,8.540373
462,20.705748
463,33.227875
464,35.415195
465,16.841728
466,34.447697
467,11.151135
468,12.544839
469,27.865747
470,42.69379
471,16.621607
472,35.812614
473,16.156626
474,8.683497
475,16.930984
476,16.323452
477,8.912371
478,15.454297
479,14.228663
480,9.188652
481,14.944619
482,8.699751
483,21.790953
484,17.321291
485,7.5175786
486,12.276515
487,24.321337
488,11.988549
489,7.4900765
490,9.821023
491,36.135086
492,22.327995
493,13.11896
494,18.136213
495,16.074657
496,10.239425
497,5.8822474
498,10.5036955
499,28.72886
500,13.501809
501,7.30728
502,8.643193
503,7.6566377
504,28.01282
505,6.6976933
506,16.370966
507,9.872151
508,8.516356
509,16.292877
510,40.779144
511,12.194449
512,7.691808
513,9.235367
514,4.522894
515,19.5376
516,46.874367
517,34.126923
518,30.575315
519,24.149385
520,21.163982
521,6.264137
522,13.494462
523,11.82918
524,10.760837
525,8.663296
526,13.9383
527,12.148065
528,4.29224
529,8.683629
530,8.236784
531,19.687038
532,7.3527236
533,20.70025
534,26.132883
535,8.465411
536,37.391685
537,18.545965
538,7.598762
539,8.73577
540,27.365322
541,18.949142
542,17.05183
543,11.726195
544,28.96576
545,10.618962
546,33.079704
547,16.425907
548,12.893149
549,7.927427
550,13.635388
551,16.199982
552,30.235182
553,29.855097
554,16.334927
555,25.473219
556,10.668487
557,20.526037
558,30.098873
559,7.9030643
560,18.55417
561,10.708579
562,7.052456
563,12.508077
564,31.629408
565,8.903137
566,45.494324
567,9.378467
568,12.889846
569,38.726135
570,32.4041
571,43.902145
572,31.374546
573,8.376279
574,20.05635
575,11.754939
576,9.509039
577,30.98086
578,9.098935
579,12.980863
580,8.897608
581,14.002545
582,11.10081
583,13.352159
584,11.3927965
585,19.698332
586,15.680762
587,7.4261937
588,22.501375
589,36.623924
590,17.908285
591,12.160549
592,6.02766
593,34.319984
594,15.167179
595,7.5999327
596,31.329828
597,12.253041
598,18.046515
599,12.608001
600,9.862175
601,22.31502
602,17.384039
603,18.628168
604,18.047152
605,37.74768
606,14.984134
607,36.099617
608,35.91047
609,14.799863
610,32.28826
611,10.77287
612,7.8407173
613,18.065134
614,35.055668
615,30.244446
616,10.695214
617,29.476612
618,37.336914
619,18.535667
620,27.403284
621,12.120353
622,23.116697
623,10.988725
624,8.972492
625,35.534775
626,30.933758
627,27.382206
628,10.154123
629,7.8106146
630,12.182096
631,13.522885
632,22.162222
633,25.614119
634,16.495642
635,10.737831
636,9.025043
637,5.14679
638,13.333356
639,6.776768
640,14.080801
641,14.029967
642,12.853652
643,10.29829
644,11.1914015
645,19.505028
646,36.429874
647,6.091422
648,13.935359
649,25.05778
650,10.413295
651,8.596399
652,10.959549
653,14.825925
654,24.902878
655,11.633678
656,14.336675
657,39.93902
658,18.669357
659,13.373318
660,4.9453626
661,12.281964
662,16.717873
663,17.479342
664,38.434937
665,15.754588
666,14.79976
667,9.643748
668,19.909098
669,35.8525
670,14.771146
671,20.05509
672,18.29206
673,37.30565
674,35.17231
675,10.869949
676,39.617844
677,15.620333
678,8.411093
679,10.97759
680,13.943274
681,15.545213
682,12.434669
683,11.7955475
684,7.5321627
685,36.974167
686,26.09627
687,18.105253
688,41.311382
689,6.447685
690,9.793246
691,21.544798
692,6.354527
693,17.918642
694,28.164417
695,11.192187
696,20.872889
697,6.3011622
698,28.250875
699,11.234614
700,25.747501
701,9.104035
702,26.512869
703,12.090252
704,25.537262
705,20.949558
706,7.0827913
707,11.484989
708,19.672321
709,45.487328
710,9.217477
711,16.29102
712,10.549709
713,31.175936
714,11.204663
715,12.944453
716,19.895134
717,27.953215
718,13.497806
719,17.506481
720,13.005273
721,17.455841
722,43.90305
723,19.354567
724,33.028683
725,9.657103
726,7.925459
727,15.350339
728,10.69772
729,16.757793
730,7.509945
731,37.15284
732,12.545905
733,13.950955
734,16.315796
735,16.354977
736,16.48393
737,22.546728
738,6.409449
739,14.348591
740,20.823513
741,19.698858
742,8.9663515
743,8.155124
744,9.274581
745,19.211332
746,9.314772
747,14.725657
748,26.882784
749,6.556349
750,7.224651
751,35.131138
752,16.213352
753,10.347108
754,12.996181
755,10.791049
756,9.479635
757,15.0522785
758,8.783353
759,19.705236
760,10.245767
761,4.9213734
762,21.797487
763,28.11811
764,12.966827
765,29.027761
766,22.189013
767,45.89087
768,7.635131
769,36.769577
770,6.8570104
771,15.296913
772,10.480753
773,34.469658
774,4.91076
775,10.276349
776,21.178526
777,19.090874
778,5.249965
779,23.246994
780,18.279757
781,11.911875
782,11.980703
783,13.563899
784,8.134145
785,15.186736
786,18.633036
787,3.2866862
788,10.486033
789,13.589
790,18.815828
791,19.668365
792,22.963757
793,15.499931
794,11.307432
795,20.748842
796,9.114695
797,9.969327
798,14.590098
799,24.41044
800,8.307026
801,9.010098
802,8.975284
803,9.717107
804,18.76509
805,26.263449
806,9.892994
807,5.629618
808,6.093157
809,10.219283
810,12.361777
811,13.539189
812,6.902476
813,13.123981
814,10.107025
815,8.703838
816,8.803311
817,26.912756
818,22.528372
819,43.212944
820,11.240717
821,28.720184
822,8.88682
823,7.783095
824,18.834545
825,11.224692
826,9.608556
827,33.20875
828,10.343907
829,11.193906
830,7.5907216
831,13.285132
832,10.804582
833,18.710428
834,21.44251
835,13.941163
836,12.530659
837,15.099329
838,12.511479
839,31.635805
840,26.017643
841,29.651344
842,39.51095
843,9.445014
844,10.610379
845,11.439118
846,16.63693
847,7.3745728
848,35.88597
849,17.716608
850,14.442021
851,4.2756844
852,8.465348
853,15.456675
854,11.403007
855,17.429071
856,10.935004
857,10.197427
858,24.82171
859,9.961801
860,17.253937
861,16.813993
862,14.610671
863,37.276215
864,14.352905
865,33.293446
866,16.023407
867,13.198996
868,6.73756
869,29.703518
870,15.098353
871,16.88978
872,36.919807
873,30.470484
874,9.861918
875,19.311132
876,10.07344
877,9.483472
878,14.758341
879,27.423376
880,35.35154
881,15.931914
882,9.262731
883,7.9611382
884,11.0053835
885,31.454676
886,7.503514
887,5.5926466
888,17.113796
889,9.905164
890,7.98773
891,16.14635
892,38.1762
893,9.353809
894,32.35051
895,20.41922
896,10.819612
897,17.799227
898,6.6645217
899,8.813006
900,37.612713
901,9.869779
902,21.441431
903,8.881966
904,18.909384
905,17.005838
906,22.633703
907,26.231829
908,13.624003
909,19.267353
910,9.139764
911,6.7755284
912,15.217404
913,24.315662
914,29.880129
915,7.2675004
916,18.084412
917,12.783749
918,19.251694
919,10.587244
920,10.652051
921,15.64903
922,22.137066
923,23.351004
924,18.151297
925,7.639785
926,29.412504
927,11.961917
928,13.260667
929,5.8543735
930,15.640399
931,11.419387
932,11.48203
933,9.500864
934,13.385949
935,10.54509
936,8.157664
937,11.645299
938,34.608612
939,11.348414
940,16.511408
941,14.610482
942,15.524722
943,6.0137463
944,15.424145
945,34.01361
946,10.12981
947,11.026065
948,7.565623
949,8.14953
950,33.162636
951,30.62757
952,11.375178
953,18.618015
954,6.8250384
955,15.3331995
956,16.83531
957,13.383751
958,16.294573
959,7.5886803
960,20.07083
961,9.848851
962,7.977944
963,15.386569
964,23.695383
965,32.624107
966,37.377373
967,27.10975
968,35.14897
969,24.351736
970,14.012459
971,40.65901
972,22.148645
973,24.638191
974,13.089927
975,12.823968
976,6.862467
977,14.336719
978,7.1800003
979,14.332612
980,31.249086
981,21.00804
982,28.483027
983,15.440509
984,14.045325
985,14.578387
986,21.672771
987,15.219516
988,14.234738
989,9.457372
990,19.024235
991,13.118722
992,15.92957
993,12.815636
994,20.061373
995,20.721668
996,34.60049
